DATE,XTEXVA01PLM667S
1990-01-01,630000000
1990-02-01,890000000
1990-03-01,970000000
1990-04-01,1020000000
1990-05-01,1000000000
1990-06-01,970000000
1990-07-01,1140000000
1990-08-01,1130000000
1990-09-01,1310000000
1990-10-01,1270000000
1990-11-01,1230000000
1990-12-01,1230000000
1991-01-01,911684285.05025
1991-02-01,1110211539.84707
1991-03-01,1077144849.36346
1991-04-01,1089949712.61142
1991-05-01,1155061512.15064
1991-06-01,1092404237.02848
1991-07-01,1113156631.69285
1991-08-01,1075856624.4196699
1991-09-01,1106750222.9351301
1991-10-01,1160648801.16815
1991-11-01,1223495586.02019
1991-12-01,2549338031.77361
1992-01-01,1271838947.63711
1992-02-01,1120524758.13902
1992-03-01,1029365701.9766
1992-04-01,1131911897.15734
1992-05-01,1090234790.59952
1992-06-01,1107364144.2273102
1992-07-01,1144112153.78544
1992-08-01,1141541511.1863601
1992-09-01,1124494223.72902
1992-10-01,1148283550.75382
1992-11-01,1064135107.35248
1992-12-01,954593623.334488
1993-01-01,1118443591.32825
1993-02-01,1103734713.90479
1993-03-01,1160058930.5018
1993-04-01,1132141278.47302
1993-05-01,1182081595.23766
1993-06-01,1153063365.17493
1993-07-01,1191497120.0376701
1993-08-01,1255373827.6023102
1993-09-01,1189237385.07493
1993-10-01,1215134722.17835
1993-11-01,1199060885.4639199
1993-12-01,1296293964.75444
1994-01-01,1272735263.05551
1994-02-01,1237116315.16427
1994-03-01,1312117171.57719
1994-04-01,1328006272.4704
1994-05-01,1342047595.23062
1994-06-01,1431896114.00071
1994-07-01,1476669581.82674
1994-08-01,1575163659.32694
1994-09-01,1533806591.4712
1994-10-01,1540888286.7251098
1994-11-01,1574877686.00333
1994-12-01,1510700246.6668599
1995-01-01,1735522641.0111299
1995-02-01,1807493620.2742
1995-03-01,1826720870.47056
1995-04-01,1814915109.86905
1995-05-01,1889378184.3058598
1995-06-01,2016645834.34461
1995-07-01,1928318607.77314
1995-08-01,1883235800.11359
1995-09-01,2041496063.9222798
1995-10-01,1962568376.8424401
1995-11-01,2049954400.1076999
1995-12-01,2080362893.6696298
1996-01-01,2068911750.0952897
1996-02-01,2000140826.9155202
1996-03-01,2010398578.4292703
1996-04-01,1995031132.01878
1996-05-01,1944377359.42793
1996-06-01,1959458873.98962
1996-07-01,2178609408.50976
1996-08-01,2166052996.05171
1996-09-01,2063377005.4107702
1996-10-01,2084395945.931
1996-11-01,2078863460.17531
1996-12-01,1984837008.2642798
1997-01-01,2129202508.4983299
1997-02-01,2105040462.4056597
1997-03-01,2105973148.8325899
1997-04-01,2073398338.83792
1997-05-01,2065032191.1617699
1997-06-01,2207934089.73443
1997-07-01,2005516800.8795202
1997-08-01,2050958694.9417899
1997-09-01,2209911008.37366
1997-10-01,2334986753.68713
1997-11-01,2290199892.88725
1997-12-01,2248668425.1025004
1998-01-01,2367486841.52898
1998-02-01,2434667956.41337
